quotes
"Although dogs have some sweat glands in their feet, their principal way of losing heat when they are too hot is by panting."
One kind of Pekingese is referred to as a sleeve because it was bred to fit into a Chinese empress
"In Old England, the word  hound was used to refer to all types of dogs."
Dogs need a strong sense of smell because their eyesight is not as keen as a human’s.
Male dogs know the female is in heat due to a smell emitted from the female dog.
Mastiffs wore armor and were sent after mounted knights in Roman times.
"After the fall of Rome, human survival often became more important than breeding and training dogs. Legends of werewolves emerged during this time as abandoned dogs traveling in packs commonly roamed streets and terrified villagers."
Dogs with a flesh colored nose is said to have a Dudley Nose
Most dogs have 42 teeth.
Dogs have a wet nose to collect more of the tiny droplets of smelling chemicals in the air.
"Two Labradors, Lucky and Flo, were the first dogs known for sniffing out pirated DVDs."
"A dog's sense of smell is 10,000 times stronger than a human's."
Dogs normally have between one to sixteen or even more puppies.
"The Beagle and Collie are the nosiest dogs, while the Akbash Dog and the Basenji are the quietest."
Dogs like to chew bones but cooked bones and bones that can splinter such as cooked chicken bones should not be given to dogs
There are 703 breeds of purebred dogs.
The most popular male dog names are Max and Jake. The most popular female dog names are Maggie and Molly.
Dogs DO have better low-light vision than humans because of a special light-reflecting layer behind their retinas.
"The most popular dog breed in Canada, U.S., and Great Britain is the Labrador retriever."












































